"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Middellandse Zee;Egeïsche Zee","(O 22 30 - O 28 30 /N 41 - N 35)","28.5,35,22.5,41",1,80.3.123.650
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Zee van Marmara","(O 26 - O 30 /N 41 15 - N 40)","30,40,26,41.25",0,80.3.124
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Zwarte Zee","(O 27 - O 42 /N 47 - N 40 45)","42,40.75,27,47",0,80.3.125
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Zee van Azow","(O 33 30 - O 40 /N 47 30 - N 45)","40,45,33.5,47.5",0,80.3.126
"Wereldzeeën;Atlantische Oceaan;Noordoostelijke Atlantische Oceaan;Golf van Guinee","(W 8 - O 10 /N 7 - N 0)","10,0,-8,7",0,80.3.127
"Wereldzeeën;Atlantische Oceaan;Zuidoostelijke Atlantische Oceaan","(W 20 - O 20 /Z 0 - Z 68)","20,-68,-20,-0",1,80.3.130
"Wereldzeeën;Atlantische Oceaan;Zuidwestelijke Atlantische Oceaan","(W 67 16 - W 20 /N 10 - Z 80)","-20,-80,-67.266666666667,10",3,80.3.150
"Wereldzeeën;Atlantische Oceaan;Zuidwestelijke Atlantische Oceaan;Rio de la Plata","(W 59 - W 53 /Z 34 - Z 37)","-53,-37,-59,-34",0,80.3.151
"Wereldzeeën;Atlantische Oceaan;Noordwestelijke Atlantische Oceaan","(W 100 - W 44 /N 70 - N 0)","-44,0,-100,70",6,80.3.170
"Wereldzeeën;Atlantische Oceaan;Noordwestelijke Atlantische Oceaan;Caribische Zee","(W 89 - W 62 /N 23 - N 8)","-62,8,-89,23",1,80.3.171
"Wereldzeeën;Atlantische Oceaan;Noordwestelijke Atlantische Oceaan;Golf van Mexico","(W 98 - W 80 /N 30 30 - N 18)","-80,18,-98,30.5",1,80.3.172
"Wereldzeeën;Atlantische Oceaan;Noordwestelijke Atlantische Oceaan;Fundybaai","(W 67 -W 63 /N 46 - N 44)","-63,44,-67,46",0,80.3.173
"Wereldzeeën;Atlantische Oceaan;Noordwestelijke Atlantische Oceaan;Saint Lawrencebaai","(W 65 - W 55 /N 52 - N 46)","-55,46,-65,52",0,80.3.174
"Wereldzeeën;Atlantische Oceaan;Noordwestelijke Atlantische Oceaan;Labradorzee","(W 65 - W 43 /N 60 - N 46)","-43,46,-65,60",0,80.3.175
"Wereldzeeën;Atlantische Oceaan;Noordwestelijke Atlantische Oceaan;Straat Davis","(W 65 - W 50 /N 70 - N 60)","-50,60,-65,70",0,80.3.176
"Wereldzeeën;Atlantische Oceaan;Noordwestelijke Atlantische Oceaan;Straat Hudson","(W 80 - W 65 /N 65 - N 58)","-65,58,-80,65",0,80.3.177
"Wereldzeeën;Atlantische Oceaan;Noordwestelijke Atlantische Oceaan;Hudsonbaai","(W 95 - W 75 /N 67 - N 51)","-75,51,-95,67",0,80.3.178
"Wereldzeeën;Indische Oceaan","(O 20 - O 147 /N 31 - Z 80)","147,-80,20,31",4,80.3.200
"Wereldzeeën;Indische Oceaan;Noordoostelijke Indische Oceaan","(O 20 - O 81 /N 31 - Z 35)","81,-35,20,31",1,80.3.210
"Wereldzeeën;Indische Oceaan;Noordoostelijke Indische Oceaan;Golf van Bengalen","(O 79 30 - O 94 /N 23 - N 5)","94,5,79.5,23",1,80.3.211
"Wereldzeeën;Indische Oceaan;Noordoostelijke Indische Oceaan;Andamanse Zee (Burma Zee)","(O 94 - O 99 /N 18 - N 5)","99,5,94,18",0,80.3.212
"Wereldzeeën;Indische Oceaan;Noordoostelijke Indische Oceaan;Straat Malakka","(O 95 - O 103 /N 9 - N 1)","103,1,95,9",0,80.3.213
"Wereldzeeën;Indische Oceaan;Zuidoostelijke Indische Oceaan","(O 80 35 - O 146 55 /Z 35 - Z 68)","146.91666666667,-68,80.583333333333,-35",0,80.3.230
"Wereldzeeën;Indische Oceaan;Zuidoostelijke Indische Oceaan;Grote Australische Golf","(O 116 - O 146 55 /Z 34 - Z 43)","146.91666666667,-43,116,-34",0,80.3.231
"Wereldzeeën;Indische Oceaan;Zuidwestelijke Indische Oceaan","(O 20 - O 80 35 /Z 35 - Z 70)","80.583333333333,-70,20,-35",0,80.3.250
"Wereldzeeën;Indische Oceaan;Noordwestelijke Indische Oceaan","(O 20 - O 80 35 /N 30 - Z 35)","80.583333333333,-35,20,30",1,80.3.270
"Wereldzeeën;Indische Oceaan;Noordwestelijke Indische Oceaan;Straat Moçambique","(O 32 - O 50 /Z 7 - Z 25 30)","50,-25.5,32,-7",0,80.3.271
"Wereldzeeën;Indische Oceaan;Noordwestelijke Indische Oceaan;Golf van Suez","(O 32 - O 34 30 /N 30 - N 27 30)","34.5,27.5,32,30",0,80.3.272
"Wereldzeeën;Indische Oceaan;Noordwestelijke Indische Oceaan;Golf van Akaba","(O 34 30 - O 35 /N 30 - N 28)","35,28,34.5,30",0,80.3.273
"Wereldzeeën;Indische Oceaan;Noordwestelijke Indische Oceaan;Rode Zee","(O 33 30 - O 44 /N 28 - N 12)","44,12,33.5,28",1,80.3.274
"Wereldzeeën;Indische Oceaan;Noordwestelijke Indische Oceaan;Golf van Aden","(O 42 30 - O 52 /N 15 30 - N 10)","52,10,42.5,15.5",0,80.3.275
"Wereldzeeën;Indische Oceaan;Noordwestelijke Indische Oceaan;Arabische Zee","(O 50 30 - O 75 /N 25 30 - N 0)","75,0,50.5,25.5",0,80.3.276
"Wereldzeeën;Indische Oceaan;Noordwestelijke Indische Oceaan;Golf van Oman","(O 56 - O 62 /N 27 30 - N 22)","62,22,56,27.5",0,80.3.277
"Wereldzeeën;Indische Oceaan;Noordwestelijke Indische Oceaan;Perzische Golf (Golf van Iran)","(O 47 30 - O 57 /N 30 30 - N 23 30)","57,23.5,47.5,30.5",0,80.3.278
"Wereldzeeën;Indische Oceaan;Noordwestelijke Indische Oceaan;Laccadiven Zee","(O 70 - O 80 /N 15 - N 0)","80,0,70,15",0,80.3.279
"Wereldzeeën;Grote Oceaan","(O 102 - W 67 /N 67 - Z 85)","-67,-85,102,67",2,80.3.300
"Wereldzeeën;Grote Oceaan;Noordoostelijke Grote Oceaan","(W 163 - W 75 /N 60 - N 0)","-75,0,-163,60",0,80.3.310
"Wereldzeeën;Grote Oceaan;Noordoostelijke Grote Oceaan;Golf van Alaska","(W 163 - W 137 /N 62 - N 55)","-137,55,-163,62",0,80.3.311
"Wereldzeeën;Grote Oceaan;Noordoostelijke Grote Oceaan;Kustwateren Z.O. Alaska en Brits Columbia","(W 137 - W 125 /N 59 - N 47)","-125,47,-137,59",0,80.3.312
"Wereldzeeën;Grote Oceaan;Noordoostelijke Grote Oceaan;Golf van Californië","(W 115 - W 106 /N 32 - N 23)","-106,23,-115,32",0,80.3.313
"Wereldzeeën;Grote Oceaan;Zuidoostelijke Grote oceaan","(W 123 - W 67 16 /Z 0 - Z 72)","-67.266666666667,-72,-123,-0",0,80.3.330
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan","(O 102 - W 132 /N 5 - Z 85)","-132,-85,102,5",0,80.3.350
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Straat Bass","(O 143 - O 150 /Z 37 30 - Z 41)","150,-41,143,-37.5",0,80.3.351
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Tasmanzee","(O 148 - O 178 /Z 30 - Z 50)","178,-50,148,-30",0,80.3.352
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Koraalzee","(O 141 - O 170 /Z 5 - Z 30)","170,-30,141,-5",0,80.3.353
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Solomonzee","(O 147 - O 165 /Z 2 - Z 10)","165,-10,147,-2",0,80.3.354
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Bismarckzee","(O 142 - O 155 /Z 1 - Z 7)","155,-7,142,-1",0,80.3.355
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren","(O 103 - O 143 /N 14 - Z 18)","143,-18,103,14",0,80.3.356
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Javazee","(O 104 - O 120 /Z 2 - Z 8)","120,-8,104,-2",0,80.3.356.050
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Balizee","(O 114 - O 118 /Z 7 - Z 9)","118,-9,114,-7",0,80.3.356.100
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Floreszee","(O 117 - O 123 /Z 5 - Z 9)","123,-9,117,-5",0,80.3.356.150
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Sawuzee","(O 118 - O 125 /Z 8 - Z 11)","125,-11,118,-8",0,80.3.356.200
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Timorzee","(O 123 - O 132 /Z 8 - Z 16)","132,-16,123,-8",0,80.3.356.250
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Arafura Zee","(O 131 - O 142 /Z 3 - Z 18)","142,-18,131,-3",0,80.3.356.300
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Bandazee","(O 120 - O 133 /Z 1 - Z 9)","133,-9,120,-1",0,80.3.356.350
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Seramzee","(O 126 - O 134 /Z 1 - Z 6)","134,-6,126,-1",0,80.3.356.400
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Halmaherazee","(O 127 - O 131 /N 3 - Z 2)","131,-2,127,3",0,80.3.356.450
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Molukse Zee","(O 123 - O 129 /N 5 - Z 2)","129,-2,123,5",0,80.3.356.500
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Golf van Tomini","(O 120 - O 124 /N 1 - Z 2)","124,-2,120,1",0,80.3.356.550
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Suluzee","(O 116 - O 124 /N 14 - N 5)","124,5,116,14",0,80.3.356.600
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Celebeszee","(O 117 - O 126 /N 8 - N 1)","126,1,117,8",0,80.3.356.650
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Straat Makasar","(O 116 - O 121 /N 2 - Z 6)","121,-6,116,2",0,80.3.356.700
"Wereldzeeën;Grote Oceaan;Zuidwestelijke Grote Oceaan;Indonesische Wateren;Golf van Bone","(O 120 - O 122 /Z 2 - Z 6)","122,-6,120,-2",0,80.3.356.750
"Wereldzeeën;Grote Oceaan;Noordwestelijke Grote Oceaan","(O 95 - W 163 /N 65 - N 0)","-163,0,95,65",0,80.3.370
"Wereldzeeën;Grote Oceaan;Noordwestelijke Grote Oceaan;Straat Singapore","(O 103 - O 104 /N 2 - N 1)","104,1,103,2",0,80.3.371
"Wereldzeeën;Grote Oceaan;Noordwestelijke Grote Oceaan;Golf van Thailand","(O 99 - O 105 /N 14 - N 6)","105,6,99,14",0,80.3.372
"Wereldzeeën;Grote Oceaan;Noordwestelijke Grote Oceaan;Zuidchinese Zee (Nan Hai)","(O 103 - O 120 /N 26 - Z 2)","120,-2,103,26",0,80.3.373
"Wereldzeeën;Grote Oceaan;Noordwestelijke Grote Oceaan;Filipijnenzee","(O 120 - O 150 /N 35 - N 2)","150,2,120,35",0,80.3.374
"Wereldzeeën;Grote Oceaan;Noordwestelijke Grote Oceaan;Japanse Binnenzee (Seto Naikai)","(O 130 - O 136 /N 35 - N 33)","136,33,130,35",0,80.3.375
"Wereldzeeën;Grote Oceaan;Noordwestelijke Grote Oceaan;Oostchinese Zee (Tung Hai)","(O 119 - O 131 /N 34 - N 24)","131,24,119,34",0,80.3.376
"Wereldzeeën;Grote Oceaan;Noordwestelijke Grote Oceaan;Gele Zee (Hwang Hai)","(O 117 - O 127 /N 33 - N 41)","127,41,117,33",0,80.3.377
"Wereldzeeën;Grote Oceaan;Noordwestelijke Grote Oceaan;Japanse Zee","(O 127 - O 142 /N 52 - N 33)","142,33,127,52",0,80.3.378
"Wereldzeeën;Grote Oceaan;Noordwestelijke Grote Oceaan;Zee van Otchotsk","(O 134 - O 165 /N 63 - N 43)","165,43,134,63",0,80.3.379
"Wereldzeeën;Grote Oceaan;Noordwestelijke Grote Oceaan;Beringzee","(O 161 - W 157 /N 67 - N 50)","-157,50,161,67",0,80.3.380
Europa,"(W 30 - O 70 /N 85 - N 35)","70,35,-30,85",1027,80.4
"Europa;Noord Europa","(W 25 - O 32 /N 81 - N 54)","32,54,-25,81",18,80.4.000
"Europa;Noord Europa;IJsland","(W 25 - W 13 /N 67 - N 63)","-13,63,-25,67",1,80.4.010
"Europa;Noord Europa;IJsland;Vestfirdir","(W 25 - W 21 /N 66 30 - N 64 45)","-21,64.75,-25,66.5",0,80.4.010.100
"Europa;Noord Europa;IJsland;Vestfirdir;Norður-Ísafjarðarsýsla","(W 24 - W 21 30 /N 66 30 - N 65 30)","-21.5,65.5,-24,66.5",0,80.4.010.110
"Europa;Noord Europa;IJsland;Vestfirdir;Vestur-Ísafjarðarsýsla","(W 24 - W 22 45 /N 66 15 - N 65 30)","-22.75,65.5,-24,66.25",0,80.4.010.120
"Europa;Noord Europa;IJsland;Vestfirdir;Vestur-Barðastrandarsýsla","(W 25 - W 22 15 /N 66 - N 65 15)","-22.25,65.25,-25,66",0,80.4.010.130
"Europa;Noord Europa;IJsland;Vestfirdir;Austur-Barðastrandarsýsla","(W 23 - W 21 30 /N 65 45 - N 65 15)","-21.5,65.25,-23,65.75",0,80.4.010.140
"Europa;Noord Europa;IJsland;Vestfirdir;Strandasýsla","(W 22 30 - W 20 45 /N 66 30 - N 64 50)","-20.75,64.833333333333,-22.5,66.5",0,80.4.010.150
"Europa;Noord Europa;IJsland;Vestfirdir;Ísafjörðr","(W 23 10 - N 23 06 /N 66 07 - N 66 03)","23.1,66.05,-23.166666666667,66.116666666667",0,80.4.010.160
"Europa;Noord Europa;IJsland;Norður vestra","(W 21 30 - W 18 30 /N 66 15 - N 64 30)","-18.5,64.5,-21.5,66.25",0,80.4.010.200
"Europa;Noord Europa;IJsland;Norður vestra;Vestur-Húnavatnssýsla","(W 21 30 - W 20 /N 66 - N 64 45)","-20,64.75,-21.5,66",0,80.4.010.210
"Europa;Noord Europa;IJsland;Norður vestra;Austur-Húnavatnssýsla","(W 20 45 - W 19 /N 66 15 - N 64 45)","-19,64.75,-20.75,66.25",0,80.4.010.220
